,Nombre,Precio,Cantidad,Unidades,,,,,,
209,PAN HAMBURGUESA HORNEADITOS 4 UND 320 G ,2490,320,g,,,,,,
210,PALO DE QUESO MOZZARELLA BACKEREI 480 GRS,6790,480,g,,,,,,
211,PAN CAIMÁN HORNEADITOS 500 G,3950,500,g,,,,,,
212,PASTEL DE GUAYABA HORNEADITOS 20 UND - 190 G,3690,190,g,,,,,,
213,TOSTADAS FINAS HIERBAS HORNEADITOS 90 G,2190,90,g,,,,,,
214,TOSTADAS CON AJO HORNEADITOS 90 G,2190,90,g,,,,,,
215,PAN TAJADO ARTESANAL INTEGRAL HORNEADITOS 500 G,6590,500,g,,,,,,
216,MINI CROISSANT HORNEADITOS 340 GRS,3990,340,g,,,,,,
217,PAN PERRO CON AJONJOLÍ HORNEADITOS 6 UND 370 G,3690,370,g,,,,,,
218,PAN LECHE HORNEADITOS 10 UND 440 GRS,3690,440,g,,,,,,
219,TORTA NEGRA HORNEADITOS 80 GRS,1750,80,g,,,,,,
220,TOSTADA SURTIDA HORNEADITOS 100 G,2850,100,g,,,,,,
221,MOGOLLA INTEGR HORNEADITOS 10 UND - 400 G,3190,400,g,,,,,,
222,CORAZONES HORNEADITOS 20 UND - 210 G,3690,210,g,,,,,,
223,PAN ARTESANAL HORNEADITOS 500 G,4990,500,g,,,,,,
224,TOSTADA NATRI MULTICEREAL70 GRS / MAÍZ 90 GRS,3490,70,g,,,,,,
225,PAN TAJADO BLANCO HORNEADITOS 450 GRS,3290,450,g,,,,,,
226,TOSTADA CLÁSICA HORNEADITOS 10 UND 150 G,1790,150,g,,,,,,
227,PAN MULTIGRANOS NATRI 0 AZUCAR 450 G,4390,450,g,,,,,,
228,COCADA TRADICIONAL NORMANDY 240 G,7390,240,g,,,,,,
229,TIRUDITO SUPERCOCO (8g) 15U,3690,120,g,,,,,,
230,GALLETA WAFER COCOSETTE 50 G,1490,50,g,,,,,,
231,BOM BOM BUM FRESA PQ 6,2450,114,g,,,,,,
232,CHOCOLATE KITKAT CHUNKY 40 GRS,2450,40,g,,,,,,
233,HALLS LIMON Y MIEL 9S,1390,25,g,,,,,,
234,TRIDENT MENTA SIN AZUCAR 5S,1150,8,g,,,,,,
235,CREMA DE AVELLANAS NUZART 350 G,8990,350,g,,,,,,
236,CREMA DE AVELLANAS DUO NUZART 350 G,8490,350,g,,,,,,
237,CHOCOLATINA KEO 12 UND 144 G,4490,144,g,,,,,,
238,TRIDENT SIN AZUCAR SANDIA 18,3150,18,Und,,,,,,
239,TRIDENT SIN AZUCAR FRESHMINT 18,3150,18,Und,,,,,,
240,CARAMELOS MASTICABLES SPARKIES 25 G,1100,25,g,,,,,,
241,LAMINAS DE CHOCOLATE BISCOLATA CHOCOCHIPS 115 G,8990,115,g,,,,,,
242,BARRA DE CHOCOLATE CON MANÍ JUMBO 40 G,2790,40,g,,,,,,
243,GALLETA WAFER RECUBIERTA DE CHOCOLATE JET WAFER 22 G,890,22,g,,,,,,
244,BARRA DE CHOCOLATE PREMIUM CHALET DU CHOCOLAT 50 G,2990,50,g,,,,,,
245,TRUFAS DE BROWNIE TRUFUS 80 G,2490,80,g,,,,,,
246,DULCES ACIDOS OKA LOKA NANOS 40G,1490,40,g,,,,,,
247,POLVO ACIDO OKA LOKA FUSION 14G,990,14,g,,,,,,
248,BARRA DE CHOCOLATE CON CARAMELO Y MANI WAPPS,2490,58,g,,,,,,
249,MORITAS DE GOMA BEBETO 150 G,3990,150,g,,,,,,
250,HELADOS DE GOMA BEBETO 150 G,3990,150,g,,,,,,
251,BARRA DE CHOCOLATE BISCOLATA DUOMAX,2790,44,g,,,,,,
252,CONO DE CHOCOLATE OZMO CORNET 25 G,1990,25,g,,,,,,
253,GALLETA MINI BURGER OZMO 40 GRS,2990,40,g,,,,,,
254,CHOCO COOKIE BISCOLATA BREAK 20 GRS,890,20,g,,,,,,
255,MASMELOS BLANCOS MELI MELLOWS 120 GR,2750,120,g,,,,,,
256,ROLLITO DE GUAYABA CON CENTRO DE AREQUIPE DULCE NATURALEZA 280 G,5450,280,g,,,,,,
257,BOCADILLO VELEÑO DULCE NATURALEZA 470 G,4690,470,g,,,,,,
258,LONJA DE GUAYABA DULCE NATURALEZA 300 G,1950,300,g,,,,,,
259,BARRA DE CHOCOLATE SNICKERS 53 G,3990,53,g,,,,,,
260,CHOCOLATES RELLENOS DE MANÍ M&MS 49 G,3850,49,g,,,,,,
261,WAFER CUBIERTA DE CHOCOLATE BISCOLATA VENI 20 G,1190,20,g,,,,,,
262,GOMA INFANTIL HUBBA BUBBA,5350,56,g,,,,,,
263,GOMAS SURTIDAS TRULULU 150 G,2590,150,g,,,,,,
264,MANTEQUILLA DE MANÍ PET MASH 227 G,5990,227,g,,,,,,
265,GELATINA BLANCA TRADICION 1915 168 G,3190,168,g,,,,,,
266,ALFAJOR PREMIUM CHOCOLATE LECHE O BLANCO,2450,70,g,,,,,,
267,TIC TAC NARANJA 16 G,1990,16,g,,,,,,
268,"MENTAS ALTOIDS 10,5 G",2990,10,g,,,,,,
269,HUEVO SORPRESA KINDER JOY 20 G,5490,20,g,,,,,,
270,GOMA DE MASCAR DOUBLEMINT 5 STK,1450,13,g,,,,,,
271,TABLETA CHOCOLATE HERSHEY°S COOKIES N CREAM ,3850,43,g,,,,,,
272,GOMAS FUN MIX GRISSLY 150 GR,2590,150,g,,,,,,
273,GALLETA 2 TACOS DUCALES NOEL 241 GRS,4990,241,g,,,,,,
274,GALLETAS VAINILLA 18UN WAFER NOEL 432 GR,7290,432,g,,,,,,
275,GALLETAS SANDWICH QUESO DUX,5890,216,g,,,,,,
276,GALLETA INTEGRAL CLUB SOCIAL 6 UND,3390,156,g,,,,,,
277,SALTIN INTEGRAL NOEL 3 TACOS 415 GRS,6290,415,g,,,,,,
278,GALLETA SALTIN NOEL 5 TACOS 410 G,5490,410,g,,,,,,
279,GALLETA DE LECHE MUUU COLOMBINA 216 GRS X 18 UND,4150,216,g,,,,,,
280,GALLETA CHIPS DE CHOCOLATE 6 PQ ,4950,270,g,,,,,,
281,GALLETA RELLENA BISCOLATA MOOD 115 G,6990,115,g,,,,,,
282,GALLETA MINI WAFER BISCOLATA 117 G,6790,117,g,,,,,,
283,GALLETA SABOR OLIVA Y ORÉGANO GRETA 120 G,4990,120,g,,,,,,
284,GALLETAS SALTÍSIMAS CLUB 6 UND 153 G,2690,153,g,,,,,,
285,GALLETA MIEL HONY BRAN 297 G,5250,297,g,,,,,,
286,GALLETA INTEGRAL CON MIEL NATRI 216 G,3690,216,g,,,,,,
287,GALLETA HAPPY CREAM VAINILLA 12 PQ 408G,5150,408,g,,,,,,
288,GALLETA INTEGRAL CON AVENA Y BASE SABOR A YOGUR CROKAN 168 G,4550,168,g,,,,,,
289,GALLETA SEMIDULCE SALTISIMAS 3T 315G,4390,315,g,,,,,,
290,GALLETA WAFER VAINILLA SIN AZUCAR BRIDGE  6 PK  162 GRS,7550,168,g,,,,,,
291,GALLETA HOLANDESA NUZART 35G,1690,35,g,,,,,,
292,GALLETAS CARMELLO CLASSIC BERGEN 140 G,4290,140,g,,,,,,
293,GALLETA HAPPY CREAM VAINILLA 6 PQ 204 G,2990,204,g,,,,,,
294,GALLETAS SALADAS SALTISIMAS 6 TACOS 454 G,4850,454,g,,,,,,
295,GALLETAS MANTEQUILLA SALTÍSIMAS 324 G,3890,324,g,,,,,,
296,GALLETAS CROKAN CAJA SURTIDA 200 G,3990,200,g,,,,,,
297,GALLETA SEMIDULCE 5 TACOS 455 GRS ,5950,455,g,,,,,,
298,GALLETA HAPPY CREAM LIMON 6 PQ 204 G,2990,204,g,,,,,,
299,GALLETAS SALTÍSIMAS 300 G,3350,300,g,,,,,,
300,GALLETA HAPPY CREAM FRESA 6 PQ 204 G,2990,204,g,,,,,,
301,HUEVOS DE CODORNIZ SOL NACIENTE 24 UND,5390,24,Und,,,,,,
302,HUEVO TIPO AA SOL NACIENTE 30 UND,17990,30,Und,,,,,,
303,HUEVO TIPO AA SOL NACIENTE 12 UND,7650,12,Und,,,,,,
304,HUEVO TIPO A SOL NACIENTE 30 UND,16790,30,Und,,,,,,
305,CHICHARRÓN CARN AMERI LA VICTORIA 100 GR,6490,100,g,,,,,,
306,CRISPETA CARAMELO CHEETOS 72 G,2190,72,g,,,,,,
307,DE TODITO BBQ 250GR,7690,250,g,,,,,,
308,LONJAS DE ALMENDRA NUTHOS 100 GR,7890,100,g,,,,,,
309,MEZCLA NUECES PREMIUM NUTHOS,7590,180,g,,,,,,
310,PATACÓN PISAO PLATAITOS 80 G,3990,80,g,,,,,,
311,TORTILLA BURRITO CRACHOS 8 UND - 580 G,6690,580,g,,,,,,
312,MANÍ SALADO NUTHOS 200 G,3990,200,g,,,,,,
313,MANÍ DULCE NUTHOS 200 G,3790,200,g,,,,,,
314,PASABOCAS SURTIDOS DOCENA KYTHOS 318 G,9350,318,g,,,,,,
315,ARÁNDANOS NUTHOS 150 G,6350,150,g,,,,,,
316,MANÍ CON PASAS NUTHOS 200 G,3990,200,g,,,,,,
317,MONEDITAS DE PLÁTANO PLATAITOS 6 UND - 60 G,8850,360,g,,,,,,
318,CIRUELA PREMIUM SIN SEMILLA SOFRUCO 200 G,6990,200,g,,,,,,
319,PASABOCAS MIXTO BBQ KYTHOS 160 G,4190,160,g,,,,,,
320,PISTACHO NUTHOS 70 G,6150,70,g,,,,,,
321,ALMENDRA NUTHOS 150 G,8290,150,g,,,,,,
322,MAÍZ GIGANTE FRITO SALADO NUTHOS 200 G,7990,200,g,,,,,,
323,TORTILLA INTEGRAL NATRI 8 UND- 250 G,3990,250,g,,,,,,
324,MEZCLA CRUNCHY NUTHOS 180 G,6890,180,g,,,,,,
325,PALOMITAS PARA MICROONDAS SABOR CARAMELO KYTHOS 100 G,3490,100,g,,,,,,
326,MEZCLA SALADA FRUTOS SECOS NUTHOS 180 G,5850,180,g,,,,,,
327,DORITOS FAMILIAR 175 GRS,5250,175,g,,,,,,
328,UVAS PASAS NUTHOS 200 G,3190,200,g,,,,,,
329,MIXTO MEGA FAMILIAR KYTHOS 350 GR,7850,350,g,,,,,,
330,SEXTA PAPA SABOR POLLO KYTHOS 25 G,5490,150,g,,,,,,
331,MEZCLAS SURTIDAS NUTHOS 5 UND - 45G,7490,225,g,,,,,,
332,LONCHERA SURTIDA FRITOLAY 12 UN 261 GR,9350,261,g,,,,,,
333,LONCHERA SURTIDA AZOMPACK 12 UN ,6150,236,g,,,,,,
334,PLATANITOS VERDES KYTHOS 135 GR,3550,135,g,,,,,,
335,PLATANITOS MADUROS KYTHOS 135 GR,3550,135,g,,,,,,
336,MAÍZ PICANTE NUTHOS 150 GR,4650,150,g,,,,,,
337,MANÍ NUTHOS CROCANTE 180 GR,3490,180,g,,,,,,
338,NACHOS CRACHOS 200 G,3090,200,g,,,,,,
339,TORTILLA FAJITA CRACHOS 12 UND - 360 G,4850,360,g,,,,,,
340,PLATANITOS MADUROS KYTHOS 6 UND - 168 G,4590,168,g,,,,,,
341,PASABOCAS MIXTOS SABOR NATURAL KYTHOS 160 G,4190,160,g,,,,,,
